Section,Title,URL,Users
noticias,Paga 260 pesos por tabla de quesos en la Feria y le dan salchichas con panela,https://www.am.com.mx/noticias/Feria-de-Verano-Leon-2021-Paga-260-pesos-por-tabla-de-quesos-y-le-dan-salchichas-con-panela-20210705-0049.html,27610
noticias,Matan a mujer en su casa; sicarios perdonan la vida a su hijo discapacitado,https://www.am.com.mx/guanajuato/noticias/Seguridad-Irapuato-Matan-a-balazos-a-mujer-en-Constitucion-de-Apatzingan-en-su-casa-perdonan-a-su-hijo-discapacitado-20210821-0001.html,27448
noticias,"Celaya, Guanajuato: captan en video asesinato en pleno día de joven en Prolongación Emiliano Zapata | Periódico AM | Noticias de Guanajuato, México",https://www.am.com.mx/guanajuato/noticias/Celaya-Guanajuato-captan-en-video-asesinato-en-pleno-dia-de-joven-en-Prolongacion-Emiliano-Zapata-20210514-0043.html,27367
noticias,Balacera en palenque clandestino deja 2 muertos y 2 heridos en León,https://www.am.com.mx/guanajuato/noticias/Seguridad-Leon-Ataque-a-balazos-en-palenque-clandestino-deja-2-muertos-y-2-heridos-en-Santa-Maria-de-Cementos-20210605-0043.html,27286
estados,"VIDEO Ataque armado cerca de un torneo infantil causa terror, hay 4 policías muertos",https://www.am.com.mx/estados/VIDEO-inseguridad-en-Zacatecas.-Ataque-armado-cerca-de-un-torneo-infantil-causa-terror-hay-4-policias-muertos-20211010-0017.html,27042
noticias,"VIDEO Anny Jael, 'La Negrita', antes de accidente de autopista México-Cuernavaca",https://www.am.com.mx/noticias/VIDEO-Accidente-de-autopista-Mexico-Cuernavaca-los-ultimos-minutos-de-vida-de-Anny-Jael-La-Negrita-20210817-0048.html,26961
superdeportivo,Hombres vestidos con uniforme de futbol atacan a balazos a jugadores en cancha de Monterrey,https://www.am.com.mx/superdeportivo/Monterrey-disparan-contra-jugadores-agresores-iban-vestidos-como-futbolistas-20210814-0049.html,26880
noticias,Predominan contagios COVID en 10 colonias de León,https://www.am.com.mx/guanajuato/noticias/Predominan-contagios-COVID-en-10-colonias-de-Leon-20210122-0002.html,26798
noticias,"VIDEO “Veníamos echando carreritas”, ¿cómo ocurrió el accidente donde murieron los 7 motociclistas?",https://www.am.com.mx/noticias/VIDEO-Accidente-Mexico-Cuernavaca-como-ocurrio-el-accidente-de-los-motociclistas.-Veniamos-echando-carreritas-afirma-uno-de-los-pilotos---20210816-0020.html,26717
coronavirus,"En Argentina, niña de 8 años fallece a causa de COVID, no tenía comorbilidades",https://www.am.com.mx/coronavirus/COVID-Argentina-nina-de-8-anos-fallece-a-causa-de-coronavirus-sin-tener-comorbilidades--20210717-0043.html,26717
